id,winning_party,points,time_stamp
154,Re,4,2024-10-17 12:42:59
155,Kontra,4,2024-10-17 12:49:12
156,Re,5,2024-10-17 12:57:26
157,Kontra,3,2024-10-17 14:08:02
158,Kontra,4,2024-10-17 14:19:54
159,Re,4,2024-10-17 14:28:15
160,Kontra,5,2024-10-17 14:36:00
161,Re,1,2024-10-17 14:44:14
162,Re,4,2024-10-17 14:53:28
163,Re,2,2024-10-17 15:02:18
164,Re,1,2024-10-17 15:25:52
165,Kontra,4,2024-10-18 13:55:44
166,Re,1,2024-10-18 14:15:10
167,Re,3,2024-10-21 12:43:14
168,Re,4,2024-10-21 12:49:36
169,Re,2,2024-10-21 13:12:24
170,Re,2,2024-10-21 13:22:08
171,Kontra,1,2024-10-21 13:30:07
172,Kontra,3,2024-10-22 13:32:37
173,Re,3,2024-10-22 13:43:45
174,Kontra,5,2024-10-23 13:40:32
175,Re,1,2024-10-23 13:49:20
176,Re,7,2024-10-23 13:58:50
177,Kontra,5,2024-10-24 11:43:01
178,Kontra,2,2024-10-24 11:50:31
179,Re,2,2024-10-24 14:22:32
180,Re,2,2024-10-24 14:30:35
181,Kontra,2,2024-10-24 14:37:28
182,Re,4,2024-10-24 14:49:09
183,Kontra,1,2024-10-25 11:07:44
184,Re,1,2024-10-25 11:10:20
185,Kontra,4,2024-10-25 13:38:26
186,Re,0,2024-10-25 13:52:43
187,Kontra,4,2024-10-25 14:01:00
188,Re,6,2024-10-25 14:10:22
189,Kontra,3,2024-10-25 14:20:18
190,Re,5,2024-10-28 14:50:41
191,Re,2,2024-10-28 14:58:54
192,Kontra,3,2024-10-28 15:04:58
193,Re,5,2024-10-28 15:11:09
194,Re,3,2024-10-29 13:59:43
195,Kontra,1,2024-10-29 14:16:45
196,Kontra,2,2024-10-30 14:28:33
197,Kontra,5,2024-10-30 14:33:45
198,Kontra,3,2024-10-30 14:39:59
199,Re,1,2024-10-30 14:46:36
200,Re,6,2024-10-31 15:01:09
201,Kontra,3,2024-10-31 15:10:14
202,Kontra,2,2024-10-31 16:26:14
203,Kontra,0,2024-10-31 16:33:22
204,Re,4,2024-10-31 16:40:25
205,Kontra,1,2024-10-31 16:50:59
206,Re,5,2024-10-31 17:01:38
207,Kontra,1,2024-11-04 14:45:46
208,Re,2,2024-11-04 14:53:27
209,Re,3,2024-11-04 14:58:46
210,Re,2,2024-11-04 15:04:50
211,Re,4,2024-11-05 13:57:58
212,Re,2,2024-11-05 14:06:09
213,Kontra,1,2024-11-05 14:14:18
214,Re,6,2024-11-05 14:23:46
215,Re,2,2024-11-05 17:11:09
216,Re,7,2024-11-05 17:20:48
217,Re,4,2024-11-05 17:29:44
218,Kontra,4,2024-11-05 17:40:08
219,Kontra,3,2024-11-06 14:20:55
220,Kontra,2,2024-11-06 14:31:45
221,Re,1,2024-11-06 14:38:02
222,Kontra,1,2024-11-06 14:49:03
223,Re,1,2024-11-06 16:43:18
224,Re,2,2024-11-06 16:51:01
225,Re,4,2024-11-06 16:58:36
226,Re,1,2024-11-06 17:04:11
227,Kontra,4,2024-11-07 14:33:22
228,Re,5,2024-11-07 14:40:24
229,Re,4,2024-11-07 14:47:22
230,Re,2,2024-11-07 15:17:16
231,Kontra,2,2024-11-07 15:32:11
232,Re,5,2024-11-07 15:40:21
233,Re,6,2024-11-07 17:05:49
234,Re,0,2024-11-07 17:07:37
235,Re,3,2024-11-07 22:20:36
236,Re,6,2024-11-07 22:27:37
237,Re,2,2024-11-07 22:38:12
238,Kontra,0,2024-11-07 22:49:31
239,Re,4,2024-11-07 23:02:19
240,Re,4,2024-11-07 23:12:59
241,Re,5,2024-11-07 23:25:43
242,Re,3,2024-11-07 23:36:59
243,Re,3,2024-11-08 14:28:50
244,Re,4,2024-11-08 14:34:57
245,Re,1,2024-11-08 14:44:14
246,Re,3,2024-11-08 15:03:16
247,Kontra,3,2024-11-08 15:03:41
248,Re,1,2024-11-11 14:53:14
249,Re,5,2024-11-11 14:59:41
250,Re,4,2024-11-11 15:07:52
251,Re,1,2024-11-11 15:16:49
252,Re,2,2024-11-11 15:25:19
253,Re,1,2024-11-12 14:06:28
254,Re,4,2024-11-12 14:21:24
255,Re,3,2024-11-12 14:27:55
256,Re,2,2024-11-12 14:38:04
257,Kontra,1,2024-11-12 17:10:41
258,Kontra,1,2024-11-12 17:19:03
259,Re,1,2024-11-12 17:29:40
260,Re,1,2024-11-12 17:43:37
261,Re,6,2024-11-12 17:55:44
262,Kontra,4,2024-11-12 18:06:45
263,Re,4,2024-11-12 18:20:56
264,Kontra,5,2024-11-13 14:41:38
265,Kontra,4,2024-11-13 14:48:54
266,Kontra,1,2024-11-13 15:03:22
