id,winning_party,points,time_stamp
674,Re,1,2025-02-07 13:34:19
675,Re,3,2025-02-07 13:43:11
676,Re,1,2025-02-07 13:47:13
677,Re,3,2025-02-07 16:59:03
678,Kontra,2,2025-02-07 17:06:46
679,Kontra,7,2025-02-07 17:15:04
680,Re,1,2025-02-07 17:22:54
681,Kontra,2,2025-02-07 17:31:33
682,Kontra,2,2025-02-07 17:38:31
683,Re,4,2025-02-07 17:45:47
684,Re,2,2025-02-07 17:54:45
685,Re,1,2025-02-07 18:02:36
686,Kontra,0,2025-02-07 18:11:04
687,Re,2,2025-02-07 18:25:38
688,Re,8,2025-02-07 18:33:03
689,Re,5,2025-02-07 18:40:21
690,Re,4,2025-02-07 18:48:37
691,Re,5,2025-02-07 18:57:28
692,Kontra,2,2025-02-10 13:08:41
693,Re,1,2025-02-10 13:17:21
694,Kontra,2,2025-02-10 13:24:45
695,Re,3,2025-02-10 13:33:29
696,Kontra,3,2025-02-10 13:40:46
697,Re,2,2025-02-11 13:42:11
698,Re,3,2025-02-11 13:47:55
699,Re,2,2025-02-11 13:53:45
700,Kontra,1,2025-02-11 14:01:46
701,Kontra,5,2025-02-11 14:07:05
702,Re,1,2025-02-12 13:46:59
703,Kontra,5,2025-02-12 13:52:32
704,Re,3,2025-02-12 13:57:58
705,Re,0,2025-02-12 14:04:33
706,Re,2,2025-02-13 12:50:29
707,Re,3,2025-02-13 12:57:38
708,Re,1,2025-02-13 13:12:17
709,Kontra,4,2025-02-13 13:19:00
710,Re,1,2025-02-13 13:26:21
711,Kontra,7,2025-02-13 13:38:52
712,Re,7,2025-02-13 13:44:34
713,Kontra,1,2025-02-13 13:51:16
714,Kontra,1,2025-02-13 14:01:42
715,Re,4,2025-02-13 14:09:52
716,Re,2,2025-02-13 14:17:50
717,Re,6,2025-02-13 14:25:46
718,Re,3,2025-02-13 14:40:29
719,Re,3,2025-02-13 14:49:39
720,Re,4,2025-02-13 14:58:07
721,Re,2,2025-02-13 15:14:39
722,Re,4,2025-02-13 15:22:06
723,Re,4,2025-02-13 15:31:17
724,Re,0,2025-02-13 15:41:52
725,Re,3,2025-02-13 15:51:41
726,Re,2,2025-02-19 12:24:54
727,Re,3,2025-02-19 12:30:27
728,Re,2,2025-02-19 12:35:32
729,Re,2,2025-02-19 12:41:34
730,Re,3,2025-02-19 12:47:38
731,Re,4,2025-02-19 20:47:01
732,Kontra,4,2025-02-19 20:57:24
733,Re,4,2025-02-20 14:22:11
734,Re,2,2025-02-20 14:29:38
735,Kontra,5,2025-02-20 14:39:23
736,Re,7,2025-02-20 14:45:47
737,Re,0,2025-02-20 14:52:59
738,Kontra,5,2025-02-20 15:04:36
739,Re,4,2025-02-20 15:12:41
740,Re,4,2025-02-26 13:57:06
741,Re,1,2025-02-26 14:05:34
742,Re,1,2025-02-26 14:19:13
743,Kontra,3,2025-02-26 14:31:17
744,Kontra,1,2025-02-26 14:38:07
745,Kontra,5,2025-02-26 14:44:57
746,Re,3,2025-02-26 14:53:04
747,Kontra,2,2025-02-26 15:02:55
748,Re,1,2025-02-26 20:55:35
749,Re,1,2025-02-26 21:00:57
750,Re,1,2025-02-26 21:06:09
751,Re,2,2025-02-26 21:17:44
752,Kontra,4,2025-02-26 21:25:24
753,Re,3,2025-02-26 21:43:40
754,Kontra,3,2025-02-26 21:50:00
755,Re,1,2025-02-26 21:54:49
756,Re,5,2025-02-26 22:05:27
757,Re,5,2025-02-26 22:13:30
758,Re,3,2025-02-26 22:25:59
759,Re,4,2025-02-26 22:40:51
760,Re,3,2025-02-26 22:41:38
761,Kontra,6,2025-02-26 22:52:22
762,Re,3,2025-02-26 23:02:32
763,Kontra,3,2025-02-27 16:09:11
764,Re,1,2025-02-27 16:16:45
765,Kontra,0,2025-02-27 16:26:45
766,Re,0,2025-02-27 16:36:45
767,Kontra,2,2025-02-27 16:46:26
768,Kontra,1,2025-03-12 11:05:58
769,Kontra,4,2025-03-12 11:16:14
770,Re,3,2025-03-12 11:22:23
771,Kontra,4,2025-03-12 11:36:14
772,Kontra,3,2025-03-12 11:43:51
773,Re,1,2025-03-12 11:59:28
774,Re,3,2025-03-12 12:15:58
775,Kontra,4,2025-03-12 12:24:11
776,Kontra,1,2025-03-12 12:34:09
777,Re,2,2025-03-12 12:43:44
778,Re,3,2025-03-13 15:00:49
779,Re,8,2025-03-13 15:07:50
780,Re,4,2025-03-13 15:15:38
781,Kontra,2,2025-03-13 15:23:43
782,Re,3,2025-03-13 15:31:11
783,Re,2,2025-03-13 15:38:49
784,Re,4,2025-03-13 15:44:28
785,Re,4,2025-03-18 13:35:41
786,Re,0,2025-03-18 13:44:07
787,Kontra,1,2025-03-18 13:51:55
788,Kontra,4,2025-03-18 14:02:35
789,Kontra,4,2025-03-18 14:14:02
790,Re,3,2025-03-19 21:03:40
791,Re,1,2025-03-19 21:10:34
792,Re,3,2025-03-19 21:17:35
793,Re,3,2025-03-19 21:25:11
794,Kontra,4,2025-03-19 21:33:50
795,Re,2,2025-03-19 21:40:27
796,Re,4,2025-03-19 21:48:25
797,Re,5,2025-03-19 21:58:01
798,Re,3,2025-03-19 22:07:55
799,Re,10,2025-03-19 22:18:44
800,Re,2,2025-03-19 22:26:15
801,Kontra,5,2025-03-19 22:33:46
802,Kontra,4,2025-03-19 22:42:20
803,Re,3,2025-03-20 14:06:19
804,Kontra,5,2025-03-20 14:16:58
805,Re,2,2025-03-20 14:27:59
806,Kontra,5,2025-03-20 14:40:08
807,Kontra,6,2025-03-20 14:47:45
808,Re,-1,2025-03-20 15:45:39
809,Kontra,1,2025-03-20 15:53:39
810,Re,5,2025-03-20 16:01:53
811,Re,2,2025-03-20 16:22:46
812,Kontra,6,2025-03-26 19:40:34
813,Re,2,2025-03-26 19:45:35
814,Re,5,2025-03-26 20:06:59
815,Re,3,2025-03-26 20:15:41
816,Re,0,2025-03-26 20:27:14
817,Kontra,5,2025-03-26 20:35:43
818,Re,2,2025-03-26 20:45:53
819,Re,2,2025-03-26 20:53:57
820,Kontra,1,2025-03-26 21:04:11
821,Kontra,4,2025-03-26 21:21:56
822,Re,3,2025-03-26 21:31:02
823,Re,5,2025-03-26 21:41:37
824,Kontra,2,2025-03-26 21:49:41
825,Kontra,3,2025-03-26 21:59:28
826,Re,2,2025-03-26 22:06:52
827,Kontra,4,2025-03-26 22:14:52
828,Re,6,2025-03-26 22:22:25
829,Kontra,6,2025-03-26 22:37:45
830,Re,3,2025-04-01 13:24:37
831,Kontra,4,2025-04-01 13:33:16
832,Re,2,2025-04-01 13:41:01
833,Kontra,2,2025-04-01 13:48:12
834,Kontra,3,2025-04-01 13:59:05
835,Re,2,2025-04-01 14:05:43
836,Re,3,2025-04-01 14:20:27
837,Kontra,1,2025-04-01 14:30:10
838,Kontra,1,2025-04-14 13:58:05
839,Kontra,1,2025-04-14 14:08:23
840,Kontra,3,2025-04-14 14:16:12
841,Re,1,2025-04-14 14:26:59
842,Kontra,1,2025-04-14 14:34:52
843,Re,2,2025-04-14 14:43:33
844,Re,4,2025-04-15 13:56:26
845,Kontra,4,2025-04-15 14:02:57
846,Re,3,2025-04-17 13:38:56
847,Re,3,2025-04-17 13:43:41
848,Re,2,2025-04-17 13:55:12
849,Re,6,2025-04-17 14:01:55
850,Kontra,2,2025-04-17 14:14:50
851,Kontra,1,2025-04-17 14:16:07
852,Kontra,3,2025-04-17 14:22:20
853,Re,6,2025-04-22 13:41:19
854,Re,3,2025-04-22 13:47:46
855,Re,2,2025-04-22 13:55:04
856,Re,6,2025-04-22 14:01:18
857,Re,5,2025-04-22 14:13:22
858,Re,0,2025-04-22 14:15:28
859,Kontra,5,2025-04-22 15:41:08
860,Kontra,3,2025-04-22 15:45:22
861,Kontra,3,2025-04-22 15:52:36
862,Re,4,2025-04-22 15:59:06
863,Re,2,2025-04-22 16:05:03
864,Re,2,2025-04-23 13:00:05
865,Kontra,4,2025-04-23 13:11:49
866,Kontra,1,2025-04-23 13:18:52
867,Re,3,2025-04-23 13:26:53
868,Kontra,4,2025-04-24 13:54:58
869,Kontra,1,2025-04-24 14:11:28
870,Re,0,2025-04-24 14:11:58
871,Kontra,5,2025-04-24 14:20:58
872,Kontra,7,2025-04-24 14:32:35
873,Kontra,2,2025-04-24 16:14:44
874,Re,3,2025-04-24 16:25:13
875,Kontra,1,2025-04-24 16:33:48
876,Kontra,0,2025-04-24 16:46:35
877,Kontra,3,2025-04-25 14:14:46
878,Kontra,6,2025-04-25 14:23:34
879,Re,4,2025-04-25 14:38:48
880,Re,3,2025-04-25 14:51:42
881,Re,3,2025-04-25 15:01:13
882,Re,1,2025-04-25 15:08:43
883,Re,5,2025-04-25 15:23:14
884,Re,3,2025-04-27 19:49:04
885,Kontra,3,2025-04-27 19:58:24
886,Re,2,2025-04-27 20:06:51
887,Re,7,2025-04-27 20:14:17
888,Re,-1,2025-04-27 20:25:57
889,Re,5,2025-04-28 13:41:33
890,Re,2,2025-04-28 13:49:11
891,Kontra,1,2025-04-28 13:55:36
892,Re,5,2025-04-28 16:43:29
893,Re,3,2025-04-29 13:40:12
894,Re,1,2025-04-29 13:49:01
895,Kontra,3,2025-04-29 13:58:15
896,Kontra,2,2025-04-30 13:43:02
897,Kontra,3,2025-04-30 13:49:08
898,Kontra,2,2025-04-30 13:54:40
899,Re,2,2025-05-05 13:30:10
900,Kontra,5,2025-05-05 13:38:33
901,Re,3,2025-05-05 13:44:35
902,Re,5,2025-05-05 13:52:10
903,Kontra,-2,2025-05-05 16:22:01
904,Kontra,3,2025-05-05 16:30:00
905,Re,3,2025-05-05 16:39:37
906,Re,3,2025-05-05 16:43:36
907,Re,8,2025-05-05 16:52:43
908,Re,5,2025-05-06 13:36:36
909,Re,2,2025-05-06 13:44:39
910,Kontra,1,2025-05-06 13:51:43
911,Re,1,2025-05-06 13:56:41
912,Kontra,4,2025-05-06 14:03:42
913,Re,0,2025-05-06 14:10:06
914,Re,4,2025-05-07 13:54:55
915,Re,1,2025-05-07 13:55:16
916,Re,1,2025-05-08 14:03:49
917,Re,4,2025-05-08 14:06:18
918,Re,3,2025-05-08 14:15:47
919,Re,2,2025-05-08 14:22:33
920,Re,7,2025-05-08 14:28:17
921,Re,5,2025-05-08 14:37:13
922,Kontra,2,2025-05-09 13:21:09
923,Re,3,2025-05-09 13:26:14
924,Re,0,2025-05-09 13:34:14
925,Re,6,2025-05-09 13:41:44
926,Re,1,2025-05-12 13:34:13
927,Re,0,2025-05-12 13:39:44
928,Kontra,7,2025-05-12 13:48:59
929,Kontra,1,2025-05-12 13:54:24
930,Re,3,2025-05-12 15:58:21
931,Re,2,2025-05-12 16:02:48
932,Re,1,2025-05-12 16:09:39
933,Kontra,1,2025-05-12 16:15:32
934,Re,1,2025-05-13 13:23:41
935,Kontra,0,2025-05-13 13:35:36
936,Re,1,2025-05-13 13:46:05
937,Re,2,2025-05-13 13:53:44
938,Re,3,2025-05-13 15:45:05
939,Re,1,2025-05-13 15:55:49
940,Re,2,2025-05-13 16:01:44
941,Re,2,2025-05-13 16:11:05
942,Kontra,6,2025-05-14 13:18:09
943,Re,3,2025-05-14 13:22:44
944,Kontra,5,2025-05-14 13:31:21
945,Re,3,2025-05-14 13:40:23
946,Re,4,2025-05-16 11:04:27
947,Re,7,2025-05-16 11:10:25
948,Re,1,2025-05-19 13:30:26
949,Re,4,2025-05-19 13:37:48
950,Re,4,2025-05-19 13:46:55
951,Re,1,2025-05-19 13:52:47
