round_id,team_id,position,party
70,31,1,Re
70,20,2,Kontra
70,1,3,Kontra
70,2,4,Kontra
71,31,1,Kontra
71,20,2,Re
71,1,3,Re
71,2,4,Kontra
72,31,1,Re
72,20,2,Kontra
72,1,3,Re
72,2,4,Kontra
73,31,1,Kontra
73,1,2,Re
73,11,3,Kontra
73,3,4,Re
74,31,1,Re
74,1,2,Kontra
74,11,3,Re
74,3,4,Kontra
75,31,1,Re
75,1,2,Re
75,11,3,Kontra
75,3,4,Kontra
76,31,1,Re
76,1,2,Kontra
76,11,3,Re
76,3,4,Kontra
77,31,1,Kontra
77,1,2,Kontra
77,11,3,Re
77,3,4,Kontra
78,31,1,Re
78,1,2,Re
78,11,3,Kontra
78,3,4,Kontra
79,31,1,Re
79,1,2,Kontra
79,11,3,Kontra
79,3,4,Re
80,31,1,Kontra
80,1,2,Re
80,11,3,Re
80,3,4,Kontra
81,31,1,Re
81,1,2,Kontra
81,11,3,Kontra
81,3,4,Re
82,31,1,Re
82,1,2,Kontra
82,11,3,Re
82,3,4,Kontra
83,31,1,Kontra
83,1,2,Re
83,11,3,Re
83,3,4,Kontra
84,31,1,Re
84,1,2,Kontra
84,11,3,Re
84,3,4,Re
85,36,1,Re
85,4,2,Re
85,17,3,Kontra
85,14,4,Kontra
86,36,1,Re
86,4,2,Re
86,17,3,Kontra
86,14,4,Kontra
87,36,1,Re
87,17,2,Re
87,14,3,Kontra
87,4,4,Kontra
88,36,1,Re
88,4,2,Re
88,14,3,Kontra
88,17,4,Kontra
89,11,1,Kontra
89,1,2,Re
89,2,3,Kontra
89,4,4,Re
90,11,1,Kontra
90,1,2,Kontra
90,2,3,Re
90,4,4,Re
91,11,1,Kontra
91,1,2,Re
91,2,3,Re
91,4,4,Kontra
92,11,1,Kontra
92,1,2,Kontra
92,2,3,Kontra
92,4,4,Re
93,17,1,Re
93,1,2,Re
93,2,3,Kontra
93,4,4,Kontra
94,17,1,Re
94,1,2,Kontra
94,2,3,Re
94,4,4,Kontra
95,17,1,Kontra
95,1,2,Re
95,2,3,Kontra
95,4,4,Kontra
96,17,1,Kontra
96,1,2,Re
96,2,3,Kontra
96,4,4,Kontra
97,14,1,Re
97,3,2,Re
97,11,3,Kontra
97,1,4,Kontra
98,14,1,Kontra
98,3,2,Re
98,11,3,Kontra
98,1,4,Re
99,14,1,Re
99,3,2,Re
99,11,3,Kontra
99,1,4,Kontra
100,14,1,Re
100,3,2,Kontra
100,11,3,Re
100,1,4,Kontra
101,21,1,Re
101,26,2,Re
101,3,3,Kontra
101,14,4,Kontra
102,21,1,Kontra
102,1,2,Kontra
102,17,3,Re
102,26,4,Re
103,21,1,Kontra
103,1,2,Kontra
103,17,3,Re
103,26,4,Kontra
104,21,1,Re
104,17,2,Kontra
104,13,3,Kontra
104,37,4,Re
105,21,1,Re
105,17,2,Re
105,13,3,Kontra
105,37,4,Kontra
106,21,1,Re
106,17,2,Kontra
106,13,3,Kontra
106,37,4,Re
107,21,1,Kontra
107,38,2,Re
107,13,3,Re
107,1,4,Kontra
108,21,1,Kontra
108,38,2,Kontra
108,13,3,Re
108,1,4,Re
109,21,1,Kontra
109,38,2,Re
109,13,3,Kontra
109,1,4,Re
110,11,1,Re
110,38,2,Kontra
110,13,3,Re
110,32,4,Kontra
111,11,1,Re
111,39,2,Kontra
111,13,3,Kontra
111,32,4,Re
112,39,1,Kontra
112,11,2,Kontra
112,13,3,Re
112,32,4,Re
113,14,1,Re
113,26,2,Kontra
113,17,3,Kontra
113,1,4,Kontra
114,14,1,Kontra
114,26,2,Re
114,17,3,Re
114,1,4,Kontra
115,1,1,Kontra
115,21,2,Re
115,17,3,Kontra
115,2,4,Re
116,1,1,Kontra
116,21,2,Re
116,17,3,Re
116,2,4,Kontra
117,1,1,Re
117,21,2,Kontra
117,17,3,Kontra
117,2,4,Re
118,1,1,Kontra
118,21,2,Kontra
118,3,3,Kontra
118,5,4,Re
119,1,1,Kontra
119,21,2,Kontra
119,40,3,Re
119,5,4,Re
120,1,1,Re
120,21,2,Kontra
120,40,3,Re
120,5,4,Kontra
121,1,1,Kontra
121,21,2,Re
121,40,3,Kontra
121,5,4,Re
122,1,1,Re
122,21,2,Kontra
122,40,3,Kontra
122,5,4,Re
123,1,1,Re
123,11,2,Kontra
123,40,3,Re
123,5,4,Kontra
124,1,1,Kontra
124,11,2,Kontra
124,40,3,Re
124,5,4,Re
125,1,1,Kontra
125,11,2,Re
125,41,3,Kontra
125,5,4,Re
126,16,1,Kontra
126,23,2,Re
126,17,3,Re
126,3,4,Kontra
127,16,1,Re
127,23,2,Kontra
127,17,3,Kontra
127,3,4,Kontra
128,16,1,Kontra
128,23,2,Re
128,17,3,Kontra
128,13,4,Re
129,16,1,Re
129,23,2,Kontra
129,17,3,Kontra
129,13,4,Re
130,16,1,Kontra
130,23,2,Re
130,28,3,Kontra
130,13,4,Re
131,26,1,Re
131,42,2,Kontra
131,28,3,Kontra
131,43,4,Re
132,26,1,Kontra
132,42,2,Kontra
132,28,3,Re
132,43,4,Re
133,2,1,Kontra
133,14,2,Re
133,44,3,Re
133,1,4,Kontra
134,45,1,Re
134,5,2,Kontra
134,44,3,Re
134,1,4,Kontra
135,45,1,Re
135,5,2,Re
135,44,3,Kontra
135,1,4,Kontra
136,45,1,Re
136,5,2,Kontra
136,44,3,Kontra
136,1,4,Re
137,45,1,Re
137,5,2,Re
137,44,3,Kontra
137,32,4,Kontra
138,45,1,Re
138,5,2,Kontra
138,44,3,Kontra
138,32,4,Re
139,45,1,Kontra
139,5,2,Re
139,44,3,Kontra
139,32,4,Re
140,38,1,Kontra
140,5,2,Kontra
140,4,3,Re
140,32,4,Re
141,2,1,Kontra
141,11,2,Kontra
141,46,3,Re
141,25,4,Kontra
142,2,1,Kontra
142,11,2,Re
142,46,3,Re
142,25,4,Kontra
143,2,1,Kontra
143,11,2,Kontra
143,46,3,Re
143,25,4,Re
144,39,1,Kontra
144,11,2,Re
144,46,3,Kontra
144,25,4,Re
145,39,1,Kontra
145,11,2,Re
145,46,3,Kontra
145,25,4,Re
146,39,1,Kontra
146,11,2,Re
146,46,3,Kontra
146,25,4,Kontra
147,39,1,Re
147,11,2,Kontra
147,46,3,Kontra
147,25,4,Re
148,23,1,Re
148,47,2,Kontra
148,48,3,Re
148,21,4,Kontra
149,23,1,Re
149,47,2,Kontra
149,48,3,Kontra
149,21,4,Re
150,23,1,Kontra
150,47,2,Kontra
150,48,3,Kontra
150,21,4,Re
151,49,1,Re
151,11,2,Re
151,23,3,Kontra
151,50,4,Kontra
152,23,1,Re
152,50,2,Re
152,3,3,Kontra
152,4,4,Kontra
153,2,1,Kontra
153,1,2,Kontra
153,21,3,Re
153,17,4,Re
154,2,1,Kontra
154,1,2,Kontra
154,21,3,Re
154,17,4,Re
155,2,1,Kontra
155,1,2,Re
155,21,3,Re
155,17,4,Kontra
156,17,1,Kontra
156,2,2,Re
156,1,3,Kontra
156,21,4,Re
157,27,1,Re
157,51,2,Kontra
157,3,3,Re
157,52,4,Kontra
158,22,1,Kontra
158,1,2,Kontra
158,3,3,Re
158,26,4,Re
159,4,1,Re
159,1,2,Re
159,2,3,Kontra
159,26,4,Kontra
160,4,1,Re
160,1,2,Kontra
160,2,3,Kontra
160,26,4,Re
161,4,1,Kontra
161,1,2,Re
161,2,3,Re
161,26,4,Kontra
162,4,1,Re
162,1,2,Kontra
162,2,3,Kontra
162,26,4,Re
163,4,1,Re
163,1,2,Kontra
163,2,3,Re
163,26,4,Kontra
164,4,1,Re
164,1,2,Kontra
164,2,3,Kontra
164,26,4,Re
165,12,1,Re
165,53,2,Re
165,20,3,Kontra
165,17,4,Kontra
166,53,1,Re
166,33,2,Re
166,12,3,Kontra
166,17,4,Kontra
167,2,1,Re
167,1,2,Re
167,14,3,Kontra
167,3,4,Kontra
168,2,1,Re
168,1,2,Kontra
168,14,3,Kontra
168,3,4,Re
169,2,1,Kontra
169,1,2,Re
169,11,3,Re
169,4,4,Kontra
170,2,1,Re
170,1,2,Re
170,11,3,Kontra
170,4,4,Kontra
171,2,1,Kontra
171,1,2,Re
